
代码  x     y     名称          范围  数量  时间



;比齐城
0111  8     12    练功师          0     1     10


;白日门馆长屋
1002  12    12    虎卫            5     1     30

;比奇大地图
0     665   87    弓箭护卫        0     1     10
0     666   86    弓箭护卫        0     1     10
0     671   94    弓箭护卫        0     1     10
0     672   93    弓箭护卫        0     1     10

;毒蛇山谷大地图
2     417   558   弓箭护卫        0     1     10
2     416   559   弓箭护卫        0     1     10
2     423   566   弓箭护卫        0     1     10
2     424   565   弓箭护卫        0     1     10


;比奇大地图
0     340   513   弓箭护卫        0     1     10
0     341   514   弓箭护卫        0     1     10

0     367   487   弓箭护卫        0     1     10
0     368   488   弓箭护卫        0     1     10

0     318   244   弓箭护卫        0     1     10
0     300   207   弓箭护卫        0     1     10
0     310   227   弓箭护卫        0     1     10
0     313   230   弓箭护卫        0     1     10
0     309   286   弓箭护卫        0     1     10
0     329   289   弓箭护卫        0     1     10
0     355   280   弓箭护卫        0     1     10
0     362   301   弓箭护卫        0     1     10
0     374   291   弓箭护卫        0     1     10
0     321   257   弓箭护卫        0     1     10
0     301   319   弓箭护卫        0     1     10
0     335   309   弓箭护卫        0     1     10
0     339   313   弓箭护卫        0     1     10

;盟重大地图
3     325   311   弓箭护卫        0     1     10
3     348   332   弓箭护卫        0     1     10
3     296   334   弓箭护卫        0     1     10
3     302   340   弓箭护卫        0     1     10
3     305   290   弓箭护卫        0     1     10
3     288   305   弓箭护卫        0     1     10
3     302   370   弓箭护卫        0     1     10
3     336   321   弓箭护卫        0     1     10
3     339   313   弓箭护卫        0     1     10
2     510   479   弓箭护卫        0     1     10
2     508   492   弓箭护卫        0     1     10


0     320   36    弓箭护卫        0     1     10
0     327   42    弓箭护卫        0     1     10

1     51    165   弓箭护卫        0     1     10
1     52    171   弓箭护卫        0     1     10
1     566   544   弓箭护卫        0     1     10
1     555   544   弓箭护卫        0     1     10
1     43    37    弓箭护卫        0     1     10
1     49    31    弓箭护卫        0     1     10
11    45    482   弓箭护卫        0     1     10

3     273   743   弓箭护卫        0     1     10
3     272   744   弓箭护卫        0     1     10
3     512   770   弓箭护卫        0     1     10
3     519   777   弓箭护卫        0     1     10

2     292   60    弓箭护卫        0     1     10
2     298   65    弓箭护卫        0     1     10
2     552   80    弓箭护卫        0     1     10
2     560   88    弓箭护卫        0     1     10


E605  11    62    弓箭护卫        0     1     10
E605  15    68    弓箭护卫        0     1     10

D601  13    196   弓箭护卫        0     1     10
D601  7     201   弓箭护卫        0     1     10

E601  139   13    弓箭护卫        0     1     10
E601  138   12    弓箭护卫        0     1     10

D422  332   380   弓箭护卫        0     1     10
D422  328   384   弓箭护卫        0     1     10


4     255   230   恶魔弓箭手      0     1     10
4     256   231   恶魔弓箭手      0     1     10
4     254   229   恶魔弓箭手      0     1     10
4     253   228   恶魔弓箭手      0     1     10
4     252   227   恶魔弓箭手      0     1     10
4     250   235   恶魔弓箭手      0     1     10
4     251   236   恶魔弓箭手      0     1     10
4     249   234   恶魔弓箭手      0     1     10
4     248   233   恶魔弓箭手      0     1     10


;沃玛寺庙
D021 74 53 沃玛战士 30 15  13
D021 74 53 沃玛勇士 30 15  14
